Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Universitas Nusa Cendana,Arsitektur,S1,PTN,2224/SK/BAN-PT/Ak-PPJ/S/IV/2022,2022,info@undana.ac.id,B,2027-03-22,Masih Berlaku
Universitas Fajar,Arsitektur,S1,9,2168/SK/BAN-PT/Akred-PMT/S/IV/2022,2022,info@unifa.ac.id,Baik,2027-04-05,Masih Berlaku
Universitas Teknologi Yogyakarta,Arsitektur,S1,5,3168/SK/BAN-PT/Ak-PPJ/S/V/2022,2022,info@uty.ac.id,A,2027-06-07,Masih Berlaku
Universitas Diponegoro,Ilmu Arsitektur Dan Perkotaan,S3,PTN,3405/SK/BAN-PT/Akred-Itnl/D/V/2022,2022,dtap.undip@gmail.com,Unggul,2027-09-30,Masih Berlaku
Universitas Pendidikan Indonesia,Arsitektur,S2,PTN,3282/SK/BAN-PT/Akred/M/V/2022,2022,mars_fptkupi@upi.edu,Baik,2027-05-31,Masih Berlaku
Universitas Malikussaleh,Arsitektur,S1,PTN,3540/SK/BAN-PT/Ak-PPJ/S/VI/2022,2022,infoarsitektur@unimal.ac.id,Baik Sekali,2027-04-26,Masih Berlaku
Institut Modern Arsitektur Dan Teknologi,Arsitektur,S1,1,4013/SK/BAN-PT/PB-PS/S/VII/2022,2022,info@imat.ac.id,Baik,2026-06-17,18 hari lagi kadaluarsa
Universitas Sumatera Utara,Arsitektur,S1,PTN,4376/SK/BAN-PT/Akred-PMT/S/VII/2022,2022,dearftusu@gmail.com,Unggul,2027-07-12,Masih Berlaku
Institut Sains Dan Teknologi TD Pardede,Arsitektur,S1,1,4438/SK/BAN-PT/Ak-PPJ/S/VII/2022,2022,iistp@yahoo.com,B,2026-10-21,144 hari lagi kadaluarsa
Universitas Mpu Tantular,Arsitektur,S1,3,5064/SK/BAN-PT/Ak.S/S/VII/2022,2022,umt@centrin.net.id,B,,Masih Berlaku
Universitas Prisma,Arsitektur,S1,16,5206/SK/BAN-PT/Ak/S/VIII/2022,2022,info@u-prisma.ac.id,Baik,2027-08-02,Masih Berlaku
