Universitas,Program Studi,Jenjang,Email,Status,Email_Lama
Universitas Nusa Cendana,Arsitektur,S1,,Sukses,arsitektur@universitasnusacendana.ac.id
Universitas Fajar,Arsitektur,S1,,Sukses,arsitektur@universitasfajar.ac.id
Universitas Merdeka Surabaya,Arsitektur,S1,tarsunmersby@yahoo.co.id,Sukses,arsitektur@universitasmerdekasurabaya.ac.id
Universitas Teknologi Yogyakarta,Arsitektur,S1,info@uty.ac.id,Sukses,arsitektur@universitasteknologiyogyakarta.ac.id
Universitas Diponegoro,Ilmu Arsitektur Dan Perkotaan,S3,dtap.undip@gmail.com,Gagal,ilmuarsitekturdanperkotaan@universitasdiponegoro.ac.id
Universitas Pendidikan Indonesia,Arsitektur,S2,mars_fptkupi@upi.edu,Sukses,arsitektur@universitaspendidikanindonesia.ac.id
Universitas Malikussaleh,Arsitektur,S1,infoarsitektur@unimal.ac.id,Gagal,arsitektur@universitasmalikussaleh.ac.id
Institut Modern Arsitektur Dan Teknologi,Arsitektur,S1,-,Email Kosong,arsitektur@institutmodernarsitekturdanteknologi.ac.id
Universitas Sumatera Utara,Arsitektur,S1,dearftusu@gmail.com,Gagal,arsitektur@universitassumaterautara.ac.id
Institut Sains Dan Teknologi TD Pardede,Arsitektur,S1,iistp@yahoo.com,Sukses,arsitektur@institutsainsdanteknologitdpardede.ac.id
Universitas Mpu Tantular,Arsitektur,S1,umt@centrin.net.id,Sukses,arsitektur@universitasmputantular.ac.id
Universitas Prisma,Arsitektur,S1,-,Email Kosong,arsitektur@universitasprisma.ac.id
Universitas Nusa Nipa,Arsitektur,S1,unipa_maumere@yahoo.com,Sukses,arsitektur@universitasnusanipa.ac.id
Universitas Hasanuddin,Arsitektur,S2,info@pascaunhas.net,Gagal,arsitektur@universitashasanuddin.ac.id
Institut Teknologi Kalimantan,Arsitektur,S1,ars@itk.ac.id,Sukses,arsitektur@institutteknologikalimantan.ac.id
Sekolah Tinggi Ilmu Teknik Trisula,Arsitektur,S1,trisulabengkulu@yahoo.com,Sukses,arsitektur@sekolahtinggiilmutekniktrisula.ac.id
Universitas Nahdlatul Ulama Kalimantan Selatan,Teknik Arsitektur,S1,-,kosong,teknikarsitektur@universitasnahdlatululamakalimantanselatan.ac.id
Universitas Pandanaran,Arsitektur,S1,unpan@yahoo.com,Sukses,arsitektur@universitaspandanaran.ac.id
Universitas Bina Taruna Gorontalo,Arsitektur,S1,-,Email Kosong,arsitektur@universitasbinatarunagorontalo.ac.id
Universitas Nahdlatul Ulama Gorontalo,Arsitektur,S1,unugortal@gmail.com,Sukses,arsitektur@universitasnahdlatululamagorontalo.ac.id
Universitas Ichsan Gorontalo,Teknik Arsitektur,S1,ft.unisan.gorontalo@gmail.com,Gagal,teknikarsitektur@universitasichsangorontalo.ac.id
Universitas Negeri Makassar,Arsitektur,S1,-,kosong,arsitektur@universitasnegerimakassar.ac.id
Universitas Nahdlatul Ulama Kalimantan Timur,Arsitektur,S1,unukaltim@gmail.com,Sukses,arsitektur@universitasnahdlatululamakalimantantimur.ac.id
Universitas Negeri Gorontalo,Teknik Arsitektur,S1,arsitektur_ung@yahoo.com,Gagal,teknikarsitektur@universitasnegerigorontalo.ac.id
Universitas Atma Jaya Yogyakarta,Arsitektur,S2,pasca@uajy.ac.id,Sukses,arsitektur@universitasatmajayayogyakarta.ac.id
