No,Nama Perguruan Tinggi,Email Resmi / Humas
1,Universitas Nusa Cendana,info@undana.ac.id
2,Universitas Fajar,info@unifa.ac.id
3,Universitas Merdeka Surabaya,info@unmer-sby.ac.id
4,Universitas Teknologi Yogyakarta,info@uty.ac.id
5,Universitas Diponegoro,humas@live.undip.ac.id
6,Universitas Pendidikan Indonesia,sekre_univ@upi.edu
7,Universitas Malikussaleh,humas@unimal.ac.id
8,Institut Modern Arsitektur Dan Teknologi,info@imat.ac.id
9,Universitas Sumatera Utara,humas@usu.ac.id
10,Institut Sains Dan Teknologi TD Pardede,humas@istp.ac.id
11,Universitas Mpu Tantular,info@mputantular.ac.id
12,Universitas Prisma,info@u-prisma.ac.id
13,Universitas Nusa Nipa,info@nusanipa.ac.id
14,Universitas Hasanuddin,info@unhas.ac.id
15,Institut Teknologi Kalimantan,humas@itk.ac.id
16,Sekolah Tinggi Ilmu Teknik Trisula,stittrisula.bengkulu@gmail.com
17,Universitas Nahdlatul Ulama Kalimantan Selatan,info@unukalsel.ac.id
18,Universitas Pandanaran,info@unpan.ac.id
19,Universitas Bina Taruna Gorontalo,info@unbitar.ac.id
20,Universitas Nahdlatul Ulama Gorontalo,info@unugo.ac.id
21,Universitas Ichsan Gorontalo,info@unisan.ac.id
22,Universitas Negeri Makassar,humas@unm.ac.id
23,Universitas Nahdlatul Ulama Kalimantan Timur,info@unukaltim.ac.id
24,Universitas Negeri Gorontalo,info@ung.ac.id
25,Universitas Atma Jaya Yogyakarta,humas@uajy.ac.id
26,Universitas Internasional Batam,info@uib.ac.id
27,Universitas Islam Negeri Walisongo Semarang,uin@walisongo.ac.id
28,Universitas Kristen Indonesia,humas@uki.ac.id
29,Universitas Bina Nusantara,bcc@binus.edu
30,Universitas Widya Mataram,info@nwu.ac.id
31,Universitas Katolik Parahyangan,humas@unpar.ac.id
32,Universitas Kristen Maranatha,info@maranatha.edu
33,Universitas Selamat Sri,info@uss.ac.id
34,Politeknik Negeri Pontianak,info@polnep.ac.id
35,Institut Teknologi Sumatera,humas@itera.ac.id
36,Universitas Katolik Soegijapranata,humas@unika.ac.id
37,Institut Teknologi Minaesa,info@itms.ac.id
38,Universitas 17 Agustus 1945 Semarang,info@untagsmg.ac.id
39,Universitas Syiah Kuala,humas@usk.ac.id
40,Universitas Ibrahimy,info@ibrahimy.ac.id
41,Institut Teknologi Garut,info@itg.ac.id
42,Universitas Tomakaka,info@univ-tomakaka.ac.id
43,Universitas Agung Podomoro,info@podomorouniversity.ac.id
44,Universitas Indonesia,humas-ui@ui.ac.id
45,Institut Teknologi Calvin,info@calvin.ac.id
46,Universitas Nusantara Manado,nusantaramanado@gmail.com
47,Universitas Quality Berastagi,info@uqb.ac.id
48,Universitas Bhinneka PGRI,info@ubhi.ac.id
49,Institut Teknologi Sepuluh Nopember,humas@its.ac.id
50,Universitas Gunadarma,mediacenter@gunadarma.ac.id
51,Universitas Muhammadiyah Surakarta,ums@ums.ac.id
52,Universitas Ekasakti,info@unespadang.ac.id
53,Universitas Lancang Kuning,info@unilak.ac.id
54,Universitas Sam Ratulangi,humas@unsrat.ac.id
55,Sekolah Tinggi Arsitektur YKPN Yogyakarta,info@staykpn.ac.id
56,Universitas Muhammadiyah Aceh,info@unmuha.ac.id
57,Universitas Presiden,admission@president.ac.id
58,Institut Seni Indonesia Surakarta,info@isi-ska.ac.id
59,Universitas Prima Indonesia,info@unprimdn.ac.id
60,Universitas Brawijaya,humas@ub.ac.id
