Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Universitas Nusa Cendana,Arsitektur,S1,PTN,2224/SK/BAN-PT/Ak-PPJ/S/IV/2022,2022,UNDANA,s1arsitektur@UNDANA.ac.id
Universitas Fajar,Arsitektur,S1,9,2168/SK/BAN-PT/Akred-PMT/S/IV/2022,2022,UNIFA,s1arsitektur@UNIFA.ac.id
Universitas Merdeka Surabaya,Arsitektur,S1,7,2631/SK/BAN-PT/AK-ISK/S/IV/2022,2022,UNMERBAYA,s1arsitektur@UNMERBAYA.ac.id
Universitas Teknologi Yogyakarta,Arsitektur,S1,5,3168/SK/BAN-PT/Ak-PPJ/S/V/2022,2022,UTY,s1arsitektur@UTY.ac.id
Universitas Diponegoro,Ilmu Arsitektur Dan Perkotaan,S3,PTN,3405/SK/BAN-PT/Akred-Itnl/D/V/2022,2022,UNDIP,s3ilmuarsitekturdanperkotaan@UNDIP.ac.id
Universitas Pendidikan Indonesia,Arsitektur,S2,PTN,3282/SK/BAN-PT/Akred/M/V/2022,2022,UPI,s2arsitektur@UPI.ac.id
Universitas Malikussaleh,Arsitektur,S1,PTN,3540/SK/BAN-PT/Ak-PPJ/S/VI/2022,2022,UNIMAL,s1arsitektur@UNIMAL.ac.id
Institut Modern Arsitektur Dan Teknologi,Arsitektur,S1,1,4013/SK/BAN-PT/PB-PS/S/VII/2022,2022,IMAT,s1arsitektur@IMAT.ac.id
Universitas Sumatera Utara,Arsitektur,S1,PTN,4376/SK/BAN-PT/Akred-PMT/S/VII/2022,2022,USU,s1arsitektur@USU.ac.id
Institut Sains Dan Teknologi TD Pardede,Arsitektur,S1,1,4438/SK/BAN-PT/Ak-PPJ/S/VII/2022,2022,ISTP,s1arsitektur@ISTP.ac.id
Universitas Mpu Tantular,Arsitektur,S1,3,5064/SK/BAN-PT/Ak.S/S/VII/2022,2022,UMT,s1arsitektur@UMT.ac.id
Universitas Prisma,Arsitektur,S1,16,5206/SK/BAN-PT/Ak/S/VIII/2022,2022,UNPRIS,s1arsitektur@UNPRIS.ac.id
Universitas Nusa Nipa,Arsitektur,S1,15,5741/SK/BAN-PT/Ak.Ppj/S/VIII/2022,2022,UNIPA,s1arsitektur@UNIPA.ac.id
