Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Peringkat_Akreditasi,Tanggal_Kadaluarsa,rumpun
Universitas Nusa Cendana,Arsitektur,S1,PTN,2224/SK/BAN-PT/Ak-PPJ/S/IV/2022,2022,B,3/22/2027,arsitektur
Universitas Fajar,Arsitektur,S1,9,2168/SK/BAN-PT/Akred-PMT/S/IV/2022,2022,Baik,4/5/2027,arsitektur
Universitas Teknologi Yogyakarta,Arsitektur,S1,5,3168/SK/BAN-PT/Ak-PPJ/S/V/2022,2022,A,6/7/2027,arsitektur
Universitas Diponegoro,Ilmu Arsitektur Dan Perkotaan,S3,PTN,3405/SK/BAN-PT/Akred-Itnl/D/V/2022,2022,Unggul,9/30/2027,arsitektur
Universitas Pendidikan Indonesia,Arsitektur,S2,PTN,3282/SK/BAN-PT/Akred/M/V/2022,2022,Baik,5/31/2027,arsitektur
Universitas Malikussaleh,Arsitektur,S1,PTN,3540/SK/BAN-PT/Ak-PPJ/S/VI/2022,2022,Baik Sekali,4/26/2027,arsitektur
Institut Modern Arsitektur Dan Teknologi,Arsitektur,S1,1,4013/SK/BAN-PT/PB-PS/S/VII/2022,2022,Baik,6/17/2026,arsitektur
Universitas Sumatera Utara,Arsitektur,S1,PTN,4376/SK/BAN-PT/Akred-PMT/S/VII/2022,2022,Unggul,7/12/2027,arsitektur
Institut Sains Dan Teknologi TD Pardede,Arsitektur,S1,1,4438/SK/BAN-PT/Ak-PPJ/S/VII/2022,2022,B,10/21/2026,arsitektur
Universitas Mpu Tantular,Arsitektur,S1,3,5064/SK/BAN-PT/Ak.S/S/VII/2022,2022,B,,arsitektur
Universitas Prisma,Arsitektur,S1,16,5206/SK/BAN-PT/Ak/S/VIII/2022,2022,Baik,8/2/2027,arsitektur
Universitas Nusa Nipa,Arsitektur,S1,15,5741/SK/BAN-PT/Ak.Ppj/S/VIII/2022,2022,Baik,10/21/2026,arsitektur
Universitas Hasanuddin,Arsitektur,S2,PTN,5810/SK/BAN-PT/Ak.Ppj/M/VIII/2022,2022,B,9/13/2027,arsitektur
Institut Teknologi Kalimantan,Arsitektur,S1,PTN,5909/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,9/6/2027,arsitektur
Sekolah Tinggi Ilmu Teknik Trisula,Arsitektur,S1,2,5912/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,9/6/2027,arsitektur
Universitas Nahdlatul Ulama Kalimantan Selatan,Teknik Arsitektur,S1,11,5983/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,9/7/2027,arsitektur
Universitas Pandanaran,Arsitektur,S1,6,6895/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,1/11/2027,arsitektur
Universitas Bina Taruna Gorontalo,Arsitektur,S1,16,7309/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,6/18/2026,arsitektur
Universitas Nahdlatul Ulama Gorontalo,Arsitektur,S1,16,7982/SK/BAN-PT/Ak/S/X/2022,2022,Baik,10/18/2027,arsitektur
Universitas Ichsan Gorontalo,Teknik Arsitektur,S1,16,8455/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,Baik,10/25/2027,arsitektur
Universitas Negeri Makassar,Arsitektur,S1,PTN,9677/SK/BAN-PT/Ak/S/XI/2022,2022,Baik,11/22/2027,arsitektur
